,strateos_id,name,is_tube,well_count,well_depth_mm,well_volume_ul,well_coating,sterile,cover_types,seal_types,capabilities,shortname,col_count,dead_volume_ul,safe_min_volume_ul,true_max_vol_ul,vendor,cat_no,prioritize_seal_or_cover
0,DEEP24,24-well extended capacity plate,False,24,,10000:microliter,,False,,"['foil', 'breathable']","['liquid_handle', 'incubate', 'gel_separate', 'gel_purify', 'dispense', 'seal']",24-deep,6,15:microliter,60:microliter,10000:microliter,E&K Scientific,EK-2053-S,seal
1,DEEP96,96-well extended capacity plate,False,96,,2000:microliter,,False,"['standard', 'universal']",['breathable'],"['liquid_handle', 'incubate', 'gel_separate', 'gel_purify', 'cover', 'dispense', 'seal']",96-deep,12,5:microliter,30:microliter,2000:microliter,Corning,3961,cover
2,DEEP96KF,96-well extended capacity King Fisher plate,False,96,,1000:microliter,,False,['standard'],,"['liquid_handle', 'incubate', 'gel_separate', 'mag_dry', 'mag_incubate', 'mag_collect', 'mag_release', 'mag_mix', 'cover', 'dispense']",96-deep-kf,12,50:microliter,50:microliter,1000:microliter,Fisher,22-387-031,seal
3,ECHO384,384-well Echo plate,False,384,,65:microliter,,,['universal'],"['foil', 'ultra-clear']","['liquid_handle', 'seal', 'spin', 'incubate', 'dispense', 'cover']",384-echo,24,15:microliter,15:microliter,135:microliter,Labcyte,PP-0200,seal
4,ECHO384LDV,384-well Echo low dead volume plate,False,384,,14:microliter,,,['universal'],"['foil', 'ultra-clear']","['liquid_handle', 'seal', 'spin', 'incubate', 'dispense', 'cover']",384-echo-ldv,24,2.5:microliter,2.5:microliter,14:microliter,Labcyte,LP-0200,seal
5,ECHO384LDVPLUS,384-well Echo low dead volume plus plate,False,384,,14:microliter,PureCoat Amine Surface,,['universal'],"['foil', 'ultra-clear']","['liquid_handle', 'seal', 'spin', 'incubate', 'dispense', 'cover']",384-echo-ldv-plus,24,4.5:microliter,4.5:microliter,14:microliter,Labcyte,LPL-0200,seal
6,FALCON96UBOTTOM,"Falcon 96-Well, Cell Culture-Treated, U-Shaped-Bottom Microplate",False,96,10.5:millimeter,320:microliter,,False,['universal'],"['ultra-clear', 'foil']","['pipette', 'spin', 'incubate', 'cover', 'stamp', 'dispense-destination', 'provision', 'uncover', 'seal', 'unseal']",96-ubottom-clear-tc,12,50:microliter,50:microliter,320:microliter,Corning,353077,seal
7,FLAT1,1-well flat-bottom plate,False,1,,80000:microliter,,False,['universal'],,"['cover', 'incubate']",1-flat,1,36000:microliter,40000:microliter,80000:microliter,Fisher,267060,seal
8,FLAT384,384-well UV flat-bottom plate,False,384,,90:microliter,,False,"['standard', 'universal']","['ultra-clear', 'foil']","['liquid_handle', 'spin', 'absorbance', 'fluorescence', 'luminescence', 'incubate', 'gel_separate', 'gel_purify', 'cover', 'dispense', 'seal']",384-flat,24,7:microliter,15:microliter,90:microliter,Corning,3706,cover
9,FLAT384BLACKTC,384-well Black Clear Flat Bottom Tissue Culture Microplate,False,384,11.55,90:microliter,,True,"['universal', 'standard']","['ultra-clear', 'foil']","['pipette', 'spin', 'incubate', 'cover', 'stamp', 'dispense', 'dispense-destination', 'echo_dest', 'provision', 'uncover', 'seal', 'unseal', 'liquid_handle', 'absorbance', 'fluorescence', 'luminescence', 'bluewash', 'spectophotometry']",384-flatbottom-black-clear-tc,24,20:microliter,20:microliter,90:microliter,Corning,3764,seal
